incident_num,defendant_id,incident_date,arraignment_date,preAct164,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,def_gender,def_race,judge_id,,,
17BU031637,Defendant530,2017-12-15,2018-01-04,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge2,,,
17BU019985,Defendant198,2017-08-05,2018-01-04,1,Theft Of Services (Misdemeanor),1,0,1,1,250,Bail,1,1,0,Female,White,Judge2,,,
18BU000228,Defendant957,2018-01-04,2018-01-05,1,Sex Offender Registry Violation (Misdemeanor),1,0,0,0,0,No Bail,3,0,0,Male,White,Judge1,,,
17BU032200,Defendant727,2017-12-23,2018-01-09,1,Simple Assault,2,0,1,0,0,No Bail,1,1,0,Male,White,Judge12,,,
17BU032631,Defendant1031,2017-12-30,2018-01-09,1,Violation Of Conditions Of Release (Travel, Curfew, Or Contact),2,0,0,1,250,Bail,1,1,1,Male,White,Judge12,
18BU000470,Defendant874,2018-01-08,2018-01-11,1,Retail Theft (Misd),1,0,1,0,0,No Bail,1,0,0,Male,White,Judge10,,,
17BU030956,Defendant50,2017-12-06,2018-01-11,1,Simple Assault,2,0,1,0,0,No Bail,2,0,1,Female,White,Judge10,,,
17BU027985,Defendant866,2017-10-20,2018-01-11,1,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,,,
17BU032167,Defendant938,2017-12-22,2018-01-11,1,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Female,White,Judge10,,,
17BU032631,Defendant1031,2017-12-30,2018-01-11,1,Violation Of Conditions Of Release (Travel, Curfew, Or Contact),3,0,0,0,0,No Bail,1,0,2,Male,White,Judge10,
18BU001232,Defendant1036,2018-01-16,2018-01-18,1,Violation Of Conditions Of Release (Travel, Curfew, Or Contact),1,0,0,0,0,No Bail,3,0,1,Male,White,Judge14,
18BU001259,Defendant654,2018-01-17,2018-01-18,1,Domestic Assault - 2nd Degree Aggravated,2,1,0,0,0,No Bail,6,0,1,Female,Black,Judge14,,,
17BU027479,Defendant112,2017-10-20,2018-01-18,1,Simple Assault,2,0,1,1,250,Bail,1,1,2,Female,White,Judge14,,,
18BU001395,Defendant440,2018-01-18,2018-01-22,1,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,3,0,3,Female,White,Judge1,,,
18BU001395,Defendant13,2018-01-19,2018-01-22,1,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,2,0,1,Male,White,Judge1,,,
18BU001633,Defendant208,2018-01-22,2018-01-23,1,Aggravated Sexual Assault,1,1,0,0,0,No Bail,6,0,0,Male,White,Judge12,,,
17BU031004,Defendant456,2017-12-07,2018-01-25,1,False Information To A Police Officer,1,0,1,0,0,No Bail,2,0,0,Female,White,Judge2,,,
18BU000498,Defendant500,2018-01-08,2018-01-25,1,Theft Of Services (Misdemeanor),1,0,1,0,0,No Bail,1,1,0,Female,White,Judge2,,,
17BU031228,Defendant630,2017-12-10,2018-01-26,1,Simple Assault,1,0,1,0,0,No Bail,4,0,1,Male,White,Judge12,,,
18BU002081,Defendant440,2018-01-28,2018-01-29,1,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,3,0,4,Female,White,Judge1,,,
18BU001158,Defendant203,2018-01-16,2018-01-30,1,Unlawful Mischief (Misdemeanor),1,0,1,0,0,No Bail,1,1,2,Male,White,Judge9,,,
18BU000602,Defendant568,2018-01-09,2018-02-01,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,3,0,1,Male,White,Judge14,,,
18BU002086,Defendant45,2018-01-28,2018-02-01,1,Domestic Assault - 1st Degree Aggravated,1,1,0,0,0,Remanded,4,0,0,Male,White,Judge14,,,
17BU032193,Defendant901,2017-12-22,2018-02-05,1,Drugs - Cocaine, Possession  >2.5 Gm,1,1,0,0,0,No Bail,3,0,1,Male,Black,Judge10,,
18BU001450,Defendant857,2018-01-20,2018-02-08,1,Driving Under The Influence, First Offense,1,0,0,0,0,No Bail,3,0,0,Male,White,Judge14,,
17BU031383,Defendant343,2017-12-13,2018-02-08,1,Petit Larceny - Shoplifting,1,0,1,1,100,Bail,1,1,1,Female,Black,Judge14,,,
18BU003044,Defendant249,2018-02-10,2018-02-12,1,Aggravated Assault,4,1,0,1,7500,Bail,1,0,0,Male,Asian,Judge12,,,
18BU003138,Defendant276,2018-02-12,2018-02-13,1,Simple Assault,3,0,1,0,0,No Bail,4,0,0,Male,Black,Judge10,,,
18BU003044,Defendant249,2018-02-10,2018-02-13,1,Aggravated Assault,4,1,0,0,0,No Bail,1,0,1,Male,Asian,Judge10,,,
18BU002039,Defendant141,2018-02-28,2018-02-13,1,Resisting Arrest,2,0,1,0,0,No Bail,3,0,0,Male,Black,Judge10,,,
17BU031960,Defendant816,2017-10-01,2018-02-13,1,Drugs - Cocaine, Trafficking,2,1,0,1,1000,Bail,1,0,0,Male,White,Judge10,,
18BU001836,Defendant714,2018-01-25,2018-02-15,1,Retail Theft (Misd),2,0,1,0,0,No Bail,1,0,0,Female,White,Judge14,,,
18BU003283,Defendant715,2018-02-14,2018-02-15,1,Burglary,1,1,0,1,1000,Bail,3,0,0,Male,White,Judge14,,,
18BU03323,Defendant898,2018-02-14,2018-02-15,1,Petit Larceny - Shoplifting,6,0,1,0,0,No Bail,3,0,0,Male,White,Judge14,,,
18BU002368,Defendant935,2018-02-13,2018-02-15,1,Unlawful Mischief (Felony),15,1,0,0,0,Remanded,6,0,0,Male,White,Judge14,,,
18BU002368,Defendant212,2018-02-13,2018-02-15,1,Unlawful Mischief (Felony),15,1,0,0,0,Remanded,5,0,0,Male,White,Judge14,,,
18BU003410,Defendant276,2018-02-15,2018-02-16,1,Simple Assault,3,0,1,0,0,No Bail,3,0,1,Male,Black,Judge2,,,
18BU003536,Defendant51,2018-02-17,2018-02-20,1,Simple Assault,1,0,1,0,0,No Bail,,0,0,Male,White,Judge1,,,
18BU001929,Defendant36,2018-01-26,2018-02-22,1,False Information To A Police Officer,1,0,1,0,0,No Bail,3,0,0,Male,White,Judge14,,,
18BU002683,Defendant1,2018-02-06,2018-02-22,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,0,0,Male,Black,Judge14,,,
18BU002559,Defendant508,2018-02-03,2018-02-22,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,Black,Judge14,,,
18BU002038,Defendant831,2018-02-28,2018-02-22,1,Simple Assault,2,0,1,0,0,No Bail,1,0,0,Female,White,Judge14,,,
18BU004089,Defendant781,2018-02-25,2018-02-26,1,Domestic Assault,3,0,0,0,0,No Bail,4,0,0,Male,Black,Judge10,,,
18BU003962,Defendant968,2018-02-23,2018-02-27,1,Lewd And Lascivious Conduct With A Child,1,1,0,0,0,No Bail,5,0,0,Male,Black,Judge10,,,
18h200232,Defendant346,2018-01-14,2018-02-27,1,Drugs - Heroin, Sale Felony,4,1,0,0,0,No Bail,5,0,0,Male,Black,Judge10,,
18BU004383,Defendant479,2018-02-28,2018-03-01,1,Lewd And Lascivious Conduct,1,1,0,0,0,No Bail,5,0,0,Male,White,Judge14,,,
18BU004317,Defendant520,2018-02-28,2018-03-01,1,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,3,0,0,Male,White,Judge14,,,
18BU004640,Defendant82,2018-03-04,2018-03-05,1,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,,,
18BU004829,Defendant6,2018-03-07,2018-03-07,1,Disorderly Conduct - All Other,1,0,1,1,500,Bail,1,0,0,Male,Black,Judge1,,,
18BU002130,Defendant587,2018-01-18,2018-03-08,1,Sexual Offense Aggravated Sexual Assault Of A Child,1,1,0,0,0,No Bail,5,0,0,Male,Black,Judge14,,,
18BU005264,Defendant783,2018-03-12,2018-03-13,1,Retail Theft (Felony),1,1,0,1,200,Bail,3,0,1,Female,White,Judge10,,,
18BU003760,Defendant571,2018-02-20,2018-03-13,1,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge10,,,
18BU004401,Defendant661,2018-03-01,2018-03-15,1,Retail Theft (Misd),1,0,1,0,0,No Bail,1,0,0,Female,White,Judge14,,,
18BU0004150,Defendant118,2018-02-25,2018-03-15,1,Unlawful Trespass (Misdemeanor),1,0,1,1,100,Bail,1,1,0,Female,White,Judge4,,,
18MT001664,Defendant481,2018-03-05,2018-03-15,1,Drugs - Cocaine, Sale >2.5 Gm,1,1,0,0,0,No Bail,3,0,0,Female,White,Judge14,,
18BU004675,Defendant293,2018-03-15,2018-03-20,1,Simple Assault,2,0,1,0,0,No Bail,1,1,2,Female,White,Judge10,,,
