Agency,"Sorted Race","Driver Area",Race,Year,"Agency Type","Full Agency","Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",StopDisparityDiffZScore,MalesDiffZScore,ArrestDiffZScore,TicketDiffZScore,WarningDiffZScore,"Agencies Included",RaceBarStyle,ToolTip,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (Any) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","White Stops w/ Search (Any) Count","White Stops w/ Search (Any) + Contraband Count","White Stops w/ Search (Any) + Contraband + Arrest/Ticket Count","White Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (Any) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct","White Stops w/ Search (PC/RS) Pct","White Stops w/ Search (Any) + Contraband Pct","White Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","White Stops w/ Search (Any) + Contraband + Arrest Pct"
"All Police","3 - Asian","All Vermont"," Asian",2014,police,"All Police",TRUE,668,29191,5,188,478,287,27121,12355,NULL,0.023,0.000,1,0.0075,0.2814,0.7156,0.0119,0.3226,0.6613,0.4296,0.4556,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,1,1,1,0,285,204,152,24,0.001,1.000,1.000,0.000,0.011,0.716,0.533,0.084
"All Police","5 - Hispanic","All Vermont"," Hispanic",2014,police,"All Police",TRUE,200,29191,3,82,114,96,27121,12355,NULL,0.007,0.000,1,0.0150,0.4100,0.5700,0.0119,0.3226,0.6613,0.4800,0.4556,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,2,2,2,0,285,204,152,24,0.010,1.000,1.000,0.000,0.011,0.716,0.533,0.084
"All Police","1 - White","All Vermont"," White",2015,police,"All Police",TRUE,53953,57595,633,18329,34804,28454,53953,28454,NULL,0.937,0.000,1,0.0117,0.3397,0.6451,0.0117,0.3397,0.6451,0.5274,0.5274,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,529,360,297,57,529,360,297,57,0.010,0.681,0.561,0.108,0.010,0.681,0.561,0.108
"All Police","2 - Black","All Vermont"," Black",2015,police,"All Police",TRUE,2003,57595,41,725,1234,1169,53953,28454,NULL,0.035,0.000,1,0.0205,0.3620,0.6161,0.0117,0.3397,0.6451,0.5836,0.5274,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,58,34,28,2,529,360,297,57,0.029,0.586,0.483,0.034,0.010,0.681,0.561,0.108
"All Police","3 - Asian","All Vermont"," Asian",2015,police,"All Police",TRUE,1076,57595,11,339,717,561,53953,28454,NULL,0.019,0.000,1,0.0102,0.3151,0.6664,0.0117,0.3397,0.6451,0.5214,0.5274,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,5,4,4,0,529,360,297,57,0.005,0.800,0.800,0.000,0.010,0.681,0.561,0.108
"All Police","5 - Hispanic","All Vermont"," Hispanic",2015,police,"All Police",TRUE,525,57595,6,209,307,340,53953,28454,NULL,0.009,0.000,1,0.0114,0.3981,0.5848,0.0117,0.3397,0.6451,0.6476,0.5274,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,11,6,5,0,529,360,297,57,0.021,0.545,0.455,0.000,0.010,0.681,0.561,0.108
"All Police","1 - White","All Vermont"," White",2016,police,"All Police",TRUE,45972,49025,430,17546,27160,26643,45972,26643,NULL,0.938,0.000,1,0.0094,0.3817,0.5908,0.0094,0.3817,0.5908,0.5795,0.5795,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,550,419,339,68,550,419,339,68,0.012,0.762,0.616,0.124,0.012,0.762,0.616,0.124
"All Police","2 - Black","All Vermont"," Black",2016,police,"All Police",TRUE,1708,49025,19,629,1011,1228,45972,26643,NULL,0.035,0.000,1,0.0111,0.3683,0.5919,0.0094,0.3817,0.5908,0.7190,0.5795,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,90,62,44,5,550,419,339,68,0.053,0.689,0.489,0.056,0.012,0.762,0.616,0.124
"All Police","3 - Asian","All Vermont"," Asian",2016,police,"All Police",TRUE,880,49025,7,327,520,566,45972,26643,NULL,0.018,0.000,1,0.0080,0.3716,0.5909,0.0094,0.3817,0.5908,0.6432,0.5795,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,5,3,3,1,550,419,339,68,0.006,0.600,0.600,0.200,0.012,0.762,0.616,0.124
"All Police","5 - Hispanic","All Vermont"," Hispanic",2016,police,"All Police",TRUE,437,49025,7,225,206,323,45972,26643,NULL,0.009,0.000,1,0.0160,0.5149,0.4714,0.0094,0.3817,0.5908,0.7391,0.5795,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,13,8,8,1,550,419,339,68,0.030,0.615,0.615,0.077,0.012,0.762,0.616,0.124
"All Police","1 - White","All Vermont"," White",2017,police,"All Police",TRUE,74238,79131,904,25969,47447,44299,74238,44299,NULL,0.938,0.000,1,0.0122,0.3498,0.6391,0.0122,0.3498,0.6391,0.5967,0.5967,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,995,733,606,147,995,733,606,147,0.013,0.737,0.609,0.148,0.013,0.737,0.609,0.148
"All Police","2 - Black","All Vermont"," Black",2017,police,"All Police",TRUE,2630,79131,65,952,1620,1963,74238,44299,NULL,0.033,0.000,1,0.0247,0.3620,0.6160,0.0122,0.3498,0.6391,0.7464,0.5967,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,110,86,69,15,995,733,606,147,0.042,0.782,0.627,0.136,0.013,0.737,0.609,0.148
"All Police","3 - Asian","All Vermont"," Asian",2017,police,"All Police",TRUE,1378,79131,14,496,868,900,74238,44299,NULL,0.017,0.000,1,0.0102,0.3599,0.6299,0.0122,0.3498,0.6391,0.6531,0.5967,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,12,5,4,3,995,733,606,147,0.009,0.417,0.333,0.250,0.013,0.737,0.609,0.148
"All Police","5 - Hispanic","All Vermont"," Hispanic",2017,police,"All Police",TRUE,832,79131,15,405,422,620,74238,44299,NULL,0.011,0.000,1,0.0180,0.4868,0.5072,0.0122,0.3498,0.6391,0.7452,0.5967,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,21,13,11,0,995,733,606,147,0.025,0.619,0.524,0.000,0.013,0.737,0.609,0.148
"All Police","1 - White","All Vermont"," White",2018,police,"All Police",TRUE,72117,77218,1072,22426,47337,43702,72117,43702,NULL,0.934,0.000,1,0.0149,0.3110,0.6564,0.0149,0.3110,0.6564,0.6060,0.6060,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,752,547,413,123,752,547,413,123,0.010,0.727,0.549,0.164,0.010,0.727,0.549,0.164
"All Police","2 - Black","All Vermont"," Black",2018,police,"All Police",TRUE,2791,77218,67,948,1782,2115,72117,43702,NULL,0.036,0.000,1,0.0240,0.3397,0.6385,0.0149,0.3110,0.6564,0.7578,0.6060,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,96,64,48,14,752,547,413,123,0.034,0.667,0.500,0.146,0.010,0.727,0.549,0.164
"All Police","3 - Asian","All Vermont"," Asian",2018,police,"All Police",TRUE,1359,77218,15,470,852,925,72117,43702,NULL,0.018,0.000,1,0.0110,0.3458,0.6269,0.0149,0.3110,0.6564,0.6806,0.6060,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,13,8,6,2,752,547,413,123,0.010,0.615,0.462,0.154,0.010,0.727,0.549,0.164
"All Police","5 - Hispanic","All Vermont"," Hispanic",2018,police,"All Police",TRUE,892,77218,19,418,435,681,72117,43702,NULL,0.012,0.000,1,0.0213,0.4686,0.4877,0.0149,0.3110,0.6564,0.7635,0.6060,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,15,9,8,1,752,547,413,123,0.017,0.600,0.533,0.067,0.010,0.727,0.549,0.164
