Agency,Driver Area,Race,Year,Agency Type,type,statistic
Bellows Falls Police,Bellows Falls, White,2017,police,Traffic Stop Count,722
Bellows Falls Police,Bellows Falls, Black,2017,police,Traffic Stop Count,16
Bellows Falls Police,Bellows Falls, Asian,2017,police,Traffic Stop Count,5
Bellows Falls Police,Bellows Falls, Hispanic,2017,police,Traffic Stop Count,13
Bellows Falls Police,Bellows Falls, White,2018,police,Traffic Stop Count,917
Bellows Falls Police,Bellows Falls, Black,2018,police,Traffic Stop Count,18
Bellows Falls Police,Bellows Falls, Asian,2018,police,Traffic Stop Count,10
Bellows Falls Police,Bellows Falls, Hispanic,2018,police,Traffic Stop Count,17
Bennington County Sheriff,Bennington County, White,2017,sheriff,Traffic Stop Count,1620
Bennington County Sheriff,Bennington County, Black,2017,sheriff,Traffic Stop Count,18
Bennington County Sheriff,Bennington County, Asian,2017,sheriff,Traffic Stop Count,16
Bennington County Sheriff,Bennington County, Hispanic,2017,sheriff,Traffic Stop Count,6
Bennington County Sheriff,Bennington County, White,2018,sheriff,Traffic Stop Count,2245
Bennington County Sheriff,Bennington County, Black,2018,sheriff,Traffic Stop Count,30
Bennington County Sheriff,Bennington County, Asian,2018,sheriff,Traffic Stop Count,20
Bennington County Sheriff,Bennington County, Hispanic,2018,sheriff,Traffic Stop Count,28
Bennington Police,Bennington, White,2014,police,Traffic Stop Count,537
Bennington Police,Bennington, Black,2014,police,Traffic Stop Count,17
Bennington Police,Bennington, Asian,2014,police,Traffic Stop Count,5
Bennington Police,Bennington, Hispanic,2014,police,Traffic Stop Count,7
Bennington Police,Bennington, White,2015,police,Traffic Stop Count,2876
Bennington Police,Bennington, Black,2015,police,Traffic Stop Count,95
Bennington Police,Bennington, Asian,2015,police,Traffic Stop Count,23
Bennington Police,Bennington, Hispanic,2015,police,Traffic Stop Count,48
Bennington Police,Bennington, White,2016,police,Traffic Stop Count,3062
Bennington Police,Bennington, Black,2016,police,Traffic Stop Count,55
Bennington Police,Bennington, Asian,2016,police,Traffic Stop Count,44
Bennington Police,Bennington, Hispanic,2016,police,Traffic Stop Count,39
Bennington Police,Bennington, White,2017,police,Traffic Stop Count,5815
Bennington Police,Bennington, Black,2017,police,Traffic Stop Count,176
Bennington Police,Bennington, Asian,2017,police,Traffic Stop Count,101
Bennington Police,Bennington, Hispanic,2017,police,Traffic Stop Count,95
Bennington Police,Bennington, White,2018,police,Traffic Stop Count,5416
Bennington Police,Bennington, Black,2018,police,Traffic Stop Count,156
Bennington Police,Bennington, Asian,2018,police,Traffic Stop Count,102
Bennington Police,Bennington, Hispanic,2018,police,Traffic Stop Count,92
Bennington Police,Bennington, White,2019,police,Traffic Stop Count,4774
Bennington Police,Bennington, Black,2019,police,Traffic Stop Count,131
Bennington Police,Bennington, Asian,2019,police,Traffic Stop Count,71
Bennington Police,Bennington, Hispanic,2019,police,Traffic Stop Count,87
Berlin Police,Berlin, White,2015,police,Traffic Stop Count,64
Berlin Police,Berlin, Black,2015,police,Traffic Stop Count,2
Berlin Police,Berlin, Asian,2015,police,Traffic Stop Count,1
Berlin Police,Berlin, White,2016,police,Traffic Stop Count,360
Berlin Police,Berlin, Black,2016,police,Traffic Stop Count,8
Berlin Police,Berlin, Asian,2016,police,Traffic Stop Count,4
Berlin Police,Berlin, Hispanic,2016,police,Traffic Stop Count,2
Berlin Police,Berlin, White,2017,police,Traffic Stop Count,96
Berlin Police,Berlin, Black,2017,police,Traffic Stop Count,3
Berlin Police,Berlin, Hispanic,2017,police,Traffic Stop Count,1
Berlin Police,Berlin, White,2018,police,Traffic Stop Count,2142
Berlin Police,Berlin, Black,2018,police,Traffic Stop Count,55
Berlin Police,Berlin, Asian,2018,police,Traffic Stop Count,23
Berlin Police,Berlin, Hispanic,2018,police,Traffic Stop Count,15
Bradford Police,Bradford, White,2015,police,Traffic Stop Count,8
Bradford Police,Bradford, White,2016,police,Traffic Stop Count,17
Bradford Police,Bradford, White,2017,police,Traffic Stop Count,1064
Bradford Police,Bradford, Black,2017,police,Traffic Stop Count,2
Bradford Police,Bradford, Asian,2017,police,Traffic Stop Count,1
Bradford Police,Bradford, Hispanic,2017,police,Traffic Stop Count,4
Bradford Police,Bradford, White,2018,police,Traffic Stop Count,515
Bradford Police,Bradford, Black,2018,police,Traffic Stop Count,3
Bradford Police,Bradford, Asian,2018,police,Traffic Stop Count,2
Bradford Police,Bradford, Hispanic,2018,police,Traffic Stop Count,3
Brandon Police,Brandon, White,2014,police,Traffic Stop Count,247
Brandon Police,Brandon, Black,2014,police,Traffic Stop Count,1
Brandon Police,Brandon, Asian,2014,police,Traffic Stop Count,1
Brandon Police,Brandon, Hispanic,2014,police,Traffic Stop Count,1
Brandon Police,Brandon, White,2015,police,Traffic Stop Count,793
Brandon Police,Brandon, Black,2015,police,Traffic Stop Count,15
Brandon Police,Brandon, Asian,2015,police,Traffic Stop Count,6
Brandon Police,Brandon, Hispanic,2015,police,Traffic Stop Count,3
Brandon Police,Brandon, White,2016,police,Traffic Stop Count,374
Brandon Police,Brandon, Black,2016,police,Traffic Stop Count,6
Brandon Police,Brandon, Asian,2016,police,Traffic Stop Count,3
Brandon Police,Brandon, Hispanic,2016,police,Traffic Stop Count,2
Brandon Police,Brandon, White,2017,police,Traffic Stop Count,668
Brandon Police,Brandon, Black,2017,police,Traffic Stop Count,5
Brandon Police,Brandon, Asian,2017,police,Traffic Stop Count,6
Brandon Police,Brandon, Hispanic,2017,police,Traffic Stop Count,3
Brandon Police,Brandon, White,2018,police,Traffic Stop Count,708
Brandon Police,Brandon, Black,2018,police,Traffic Stop Count,15
Brandon Police,Brandon, Asian,2018,police,Traffic Stop Count,3
Brandon Police,Brandon, Hispanic,2018,police,Traffic Stop Count,7
Brattleboro Police,Brattleboro, White,2014,police,Traffic Stop Count,1281
Brattleboro Police,Brattleboro, Black,2014,police,Traffic Stop Count,33
Brattleboro Police,Brattleboro, Asian,2014,police,Traffic Stop Count,16
Brattleboro Police,Brattleboro, Hispanic,2014,police,Traffic Stop Count,8
Brattleboro Police,Brattleboro, White,2015,police,Traffic Stop Count,3251
