Agency,"Sorted Race","Driver Area",Race,Years,"Agency Type",ShortAgencyName,"Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",ArrestDiffZScore,ArrestDiffPIsLT5pct,MalesDiffPIsLT5pct,"Agencies Included",RaceBarStyle,Tooltip,DriverPctInfo,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (PC/RS) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (PC/RS) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct",ACSCount
"Barre Town Police","1 - White","Barre Town"," White",2014-18,police,"Barre Town",TRUE,7088,7189,5,1649,5454,4329,7088,4329,0.98000000000,0.986,1.006,1,0.0007,0.2326,0.7695,0.0007,0.2326,0.7695,0.6108,0.6108,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Washington County",17,14,14,0,0.002,0.824,0.824,0.000,6401
"Barre Town Police","2 - Black","Barre Town"," Black",2014-18,police,"Barre Town",TRUE,62,7189,0,29,33,55,7088,4329,0.01100000000,0.009,0.784,1,0.0000,0.4677,0.5323,0.0007,0.2326,0.7695,0.8871,0.6108,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,178
"Barre Town Police","3 - Asian","Barre Town"," Asian","2015,17-18",police,"Barre Town",FALSE,18,6257,0,0,0,13,6171,3753,0.00500000000,0.003,0.575,1,,,,0.0008,0.2238,0.7783,,0.6082,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,32
"Barre Town Police","5 - Hispanic","Barre Town"," Hispanic",2014-18,police,"Barre Town",TRUE,21,7189,0,9,12,20,7088,4329,0.00500000000,0.003,0.584,1,0.0000,0.4286,0.5714,0.0007,0.2326,0.7695,0.9524,0.6108,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Bellows Falls Police","1 - White","Bellows Falls"," White",2016-18,police,"Bellows Falls",TRUE,2318,2423,60,507,1681,897,2318,897,0.98000000000,0.957,0.976,1,0.0259,0.2187,0.7252,0.0259,0.2187,0.7252,0.3870,0.3870,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Windham County",80,62,49,17,0.035,0.775,0.613,0.213,2344
"Bellows Falls Police","2 - Black","Bellows Falls"," Black",2016-18,police,"Bellows Falls",TRUE,57,2423,3,12,39,24,2318,897,0.01000000000,0.024,2.352,1,0.0526,0.2105,0.6842,0.0259,0.2187,0.7252,0.4211,0.3870,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Windham County",11,10,5,3,0.193,0.909,0.455,0.273,67
"Bellows Falls Police","3 - Asian","Bellows Falls"," Asian",2016-18,police,"Bellows Falls",FALSE,18,2423,0,0,0,9,2318,897,0.00000000000,0.007,NULL,1,,,,0.0259,0.2187,0.7252,,0.3870,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Windham County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Bellows Falls Police","5 - Hispanic","Bellows Falls"," Hispanic",2017-18,police,"Bellows Falls",TRUE,30,1718,2,6,22,19,1639,897,0.01000000000,0.017,1.746,1,0.0667,0.2000,0.7333,0.0214,0.2050,0.7834,0.6333,0.5473,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Windham County",4,4,2,1,0.133,1.000,0.500,0.250,0
"Bennington County Sheriff","1 - White","Bennington County"," White",2017-18,sheriff,"Bennington County",TRUE,3865,3986,9,1979,1937,2257,3865,2257,0.95100000000,0.970,1.020,1,0.0023,0.5120,0.5012,0.0023,0.5120,0.5012,0.5840,0.5840,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Bennington County",50,38,35,1,0.013,0.760,0.700,0.020,29344
"Bennington County Sheriff","2 - Black","Bennington County"," Black",2017-18,sheriff,"Bennington County",TRUE,48,3986,0,24,25,31,3865,2257,0.02000000000,0.012,0.602,1,0.0000,0.5000,0.5208,0.0023,0.5120,0.5012,0.6458,0.5840,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Bennington County",0,0,0,0,0.000,0.000,0.000,0.000,514
